project_name,latitude,longitude,avoided_co2_tonnes,stored_co2_tonnes,total_co2_tonnes,source_type,sources,osm_links,osm_ids,camera_zoom,camera_zoom_mobile,camera_pitch,camera_heading,equivalent_trees_50yr_at_22kg_per_year
Brock Commons Tallwood House,49.2694901,-123.2513927,679,1753,2432,The CO2 benefit of mass-timber construction comes from the UBC Sustainability Brock Commons project storyboards: https://sustain.ubc.ca/sites/default/files/brock_commons_storyboards_0.pdf; Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.,https://sustain.ubc.ca/sites/default/files/brock_commons_storyboards_0.pdf ; https://www.naturallywood.com/projects/brock-commons-tallwood-house/,https://www.openstreetmap.org/way/517623349,way/517623349,17.01,16.01,30,0,2211
Vancouver Convention Centre West Building,49.289116,-123.115974,1080,520,1600,The CO2 benefit of mass-timber construction comes from the Naturally Wood project case study: https://www.naturallywood.com/wp-content/uploads/vancouver-convention-centre-west-building-case-study-oct2010-naturallywood.pdf; Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.,https://www.naturallywood.com/wp-content/uploads/vancouver-convention-centre-west-building-case-study-oct2010-naturallywood.pdf,https://www.openstreetmap.org/way/85240507,way/85240507,16.5,15.5,25,0,1455
"Freedom Mobile Arch, PNE Amphitheatre",49.283960,-123.037179,620,1640,2260,"Timber-volume screening calculation. The 2,000 m³ input is a conservative minimum based on sources reporting more than 2,000 m³ of mass timber: https://construireenboisvol17no1en.cecobois.com/integrating-embedded-carbon-in-design-choices/low-carbon-projects; https://reveryarchitecture.com/projects/pne-amphitheatre/; The volume is multiplied by 0.31 tCO2e/m³ for avoided emissions and 0.82 tCO2/m³ for stored carbon. Factor source: https://cc.woodworks.org/pdf/2025_carbon_calculator_references_notes.pdf; density source, 446 kg/m³: https://kalesnikoff.com/wp-content/uploads/2022/05/Kalesnikoff-CLT-EPD-.pdf; Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.",https://construireenboisvol17no1en.cecobois.com/integrating-embedded-carbon-in-design-choices/low-carbon-projects ; https://reveryarchitecture.com/projects/pne-amphitheatre/ ; https://kalesnikoff.com/wp-content/uploads/2022/05/Kalesnikoff-CLT-EPD-.pdf ; https://cc.woodworks.org/pdf/2025_carbon_calculator_references_notes.pdf,https://www.openstreetmap.org/way/1450441243,way/1450441243,16.5,16.01,30,0,2055
oN5 Building,49.2666163,-123.1042273,,,620,The combined 620 tCO2 benefit of mass-timber construction comes from the District of West Vancouver project-opening report: https://westvancouver.ca/sites/default/files/media/documents/22jul06.pdf; The source does not provide an avoided-emissions and stored-carbon split. Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.,https://westvancouver.ca/sites/default/files/media/documents/22jul06.pdf ; https://www.canada.ca/en/natural-resources-canada/news/2022/06/new-high-performance-cross-laminated-timberoffice-building-welcomes-occupants.html ; https://naikoon.ca/projects/on5/,https://www.openstreetmap.org/way/306889744,way/306889744,18.1,17.1,50,-35,564
The Hive,49.2654817,-123.078598,1542,4403,5945,The CO2 benefit of mass-timber construction comes from the DIALOG project source: https://dialogdesign.ca/news-events/canadas-greenest-employers-2026-five-dialog-projects-moving-sustainable-design-forward/; Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.,https://dialogdesign.ca/news-events/canadas-greenest-employers-2026-five-dialog-projects-moving-sustainable-design-forward/ ; https://www.naturallywood.com/mass-timber-demonstration-program/,https://www.openstreetmap.org/way/1420874317,way/1420874317,17.01,16.01,35,37,5405
BCIT Tall Timber Student Housing,49.249273,-123.003332,725,1872,2597,"Timber-volume screening calculation. The 2,289.117 m³ CLT volume comes from the public Fast + Epp Revit model on Speckle: https://app.speckle.systems/projects/723ddc61a3/models/5a36c2c7dc; project context: https://www.fastepp.com/portfolio/bcit-student-housing/; The volume is multiplied by 0.31 tCO2e/m³ for avoided emissions and 0.82 tCO2/m³ for stored carbon. Factor source: https://cc.woodworks.org/pdf/2025_carbon_calculator_references_notes.pdf; density source, 446 kg/m³: https://kalesnikoff.com/wp-content/uploads/2022/05/Kalesnikoff-CLT-EPD-.pdf; Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.",https://app.speckle.systems/projects/723ddc61a3/models/5a36c2c7dc ; https://www.fastepp.com/portfolio/bcit-student-housing/ ; https://kalesnikoff.com/wp-content/uploads/2022/05/Kalesnikoff-CLT-EPD-.pdf ; https://cc.woodworks.org/pdf/2025_carbon_calculator_references_notes.pdf ; https://www.naturallywood.com/projects/bcit-tall-timber-student-housing/,https://www.openstreetmap.org/way/1367291505,way/1367291505,17.1,16.1,30,-35,2361
SFU Stadium Mass-Timber Canopy,49.2791243,-122.9220615,56,147,203,"Timber-volume screening calculation. The 179.731 m³ CLT volume uses the published 941 m² canopy area: https://sfss.ca/wp-content/uploads/2017/10/Board-Of-Directors-2017-09-29.pdf; and a 191 mm seven-ply CLT thickness inferred from: https://perkinswill.com/getting-to-craft-in-mass-timber-design/; https://cwc.ca/wp-content/uploads/2025/08/Structurlam-Canadian-Mass-Timber-Technical-Guide-June-2020.pdf; The volume is multiplied by 0.31 tCO2e/m³ for avoided emissions and 0.82 tCO2/m³ for stored carbon. Factor source: https://cc.woodworks.org/pdf/2025_carbon_calculator_references_notes.pdf; density source, 446 kg/m³: https://kalesnikoff.com/wp-content/uploads/2022/05/Kalesnikoff-CLT-EPD-.pdf; Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.",https://sfss.ca/wp-content/uploads/2017/10/Board-Of-Directors-2017-09-29.pdf ; https://perkinswill.com/getting-to-craft-in-mass-timber-design/ ; https://cwc.ca/wp-content/uploads/2025/08/Structurlam-Canadian-Mass-Timber-Technical-Guide-June-2020.pdf ; https://kalesnikoff.com/wp-content/uploads/2022/05/Kalesnikoff-CLT-EPD-.pdf ; https://cc.woodworks.org/pdf/2025_carbon_calculator_references_notes.pdf,https://www.openstreetmap.org/way/980707209,way/980707209,17.5,16.1,30,0,185
Richmond Olympic Oval,49.174693,-123.1516757,4500,2114,6613,"The CO2 benefit of mass-timber construction comes from the Naturally Wood project case study: https://www.naturallywood.com/wp-content/uploads/richmond-olympic-oval-case-study-oct2010-naturallywood.pdf; The source reports 6,613 tCO2 in total; its rounded components sum to 6,614 tCO2. Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.",https://www.naturallywood.com/wp-content/uploads/richmond-olympic-oval-case-study-oct2010-naturallywood.pdf ; https://www.naturallywood.com/projects/richmond-olympic-oval/,https://www.openstreetmap.org/way/49797023 ; https://www.openstreetmap.org/way/1485098103 ; https://www.openstreetmap.org/way/1485098102 ; https://www.openstreetmap.org/way/1485098104 ; https://www.openstreetmap.org/way/1485098105 ; https://www.openstreetmap.org/way/1485098081 ; https://www.openstreetmap.org/way/1485098082 ; https://www.openstreetmap.org/way/1485098083 ; https://www.openstreetmap.org/way/1485098084 ; https://www.openstreetmap.org/way/1485098085 ; https://www.openstreetmap.org/way/1485098086 ; https://www.openstreetmap.org/way/1485098087 ; https://www.openstreetmap.org/way/1485098088 ; https://www.openstreetmap.org/way/1485098089 ; https://www.openstreetmap.org/way/1485098090 ; https://www.openstreetmap.org/way/1485098091 ; https://www.openstreetmap.org/way/1485098092 ; https://www.openstreetmap.org/way/1485098093,"way/49797023,way/1485098103,way/1485098102,way/1485098104,way/1485098105,way/1485098081,way/1485098082,way/1485098083,way/1485098084,way/1485098085,way/1485098086,way/1485098087,way/1485098088,way/1485098089,way/1485098090,way/1485098091,way/1485098092,way/1485098093",16.5,15.5,30,0,6012
UBC Earth Sciences Building,49.262954,-123.252201,1168,1005,2173,The CO2 benefit of mass-timber construction comes from the Cross-Laminated Timber: Taking Wood Buildings to the Next Level report: https://www.arataumodular.com/app/wp-content/uploads/2022/06/Cross-Laminated-Timber-Taking-wood-buildings-to-the-next-level.pdf; Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.,https://www.arataumodular.com/app/wp-content/uploads/2022/06/Cross-Laminated-Timber-Taking-wood-buildings-to-the-next-level.pdf ; https://www.naturallywood.com/wp-content/uploads/ubc-mass-timber-buildings_factsheet_naturallywood.pdf,https://www.openstreetmap.org/way/56701161,way/56701161,17.1,16.1,30,0,1975
UBC Centre for Interactive Research on Sustainability,49.262067,-123.253110,1473,701,2173,"The CO2 benefit of mass-timber construction comes from the Naturally Wood project case study: https://www.naturallywood.com/wp-content/uploads/centre-for-interactive-research-on-sustainability_case-study_naturallywood.pdf; The source reports 2,173 tCO2 in total; its rounded components sum to 2,174 tCO2. Tree equivalents assume one tree absorbs 22 kg of CO2 per year for 50 years.",https://www.naturallywood.com/wp-content/uploads/centre-for-interactive-research-on-sustainability_case-study_naturallywood.pdf,https://www.openstreetmap.org/way/473496555 ; https://www.openstreetmap.org/way/1392684956 ; https://www.openstreetmap.org/way/1392684957,"way/473496555,way/1392684956,way/1392684957",17.1,16.1,30,0,1975
